freq,am_item,indic_agr,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,AM010000,PRD_BP,MIO_EUR,AT,,,,,,,,,,,,,,,,,,,,,,,1001.16,911.05,838.9,754.36,721.19,725.51,760.36,724.85,734.4,724.29,405.66,478.96,871.01,655.8,478.35,800.93,906.72,1029.21,717.58,764.27,728.38,749.33,754.06,776.48,801.97,834.97,1149.73,1530.36,961.3,942.23,1059.78
A,AM010000,PRD_BP,MIO_EUR,BE,,,,,,,,300.15,317.03,363.56,365.41,422.51,355.93,388.44,325.44,360.76,356.79,315.07,317.68,294.59,312.77,317.1,356.53,373.89,329.26,326.04,309.95,325.09,313.96,304.24,355.19,365.57,238.16,309.24,436.5,337.88,305.29,524.17,465.34,606.09,513.17,451.63,453.76,305.91,376.77,417.79,435.9,490.13,680.8,823.83,581.59,416.62,476.51
A,AM010000,PRD_BP,MIO_EUR,BG,,,,,,,,,,,,,,,,,,,,,,,426.31,340.45,781.02,363.01,367.49,394.84,508.6,508.63,461.62,634.84,472.2,452.02,446.37,1025.42,675.65,842.82,1196.06,1311.49,1258.57,1330.84,1228.73,1199.37,1246.43,1443.72,1499.8,1333.72,2264.71,2804.67,2098.37,1744.27,1762.57
A,AM010000,PRD_BP,MIO_EUR,CH,,,,,,,,,,,,,547.41,535.84,536.41,683.64,747.67,646.16,657.86,574.22,601.58,587.96,585.17,512.75,471.69,463.01,390.12,397.94,321.54,343.9,271.59,319.84,290.29,282.3,281.23,283.48,255.95,271.91,314.35,308.82,279.65,303.88,347.86,276.5,344.87,301.84,345.72,382.89,325.23,411.5,390.94,306.8,459.86
A,AM010000,PRD_BP,MIO_EUR,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54,18.5,10.71,11.6,10.0,2.12,9.51,9.92,10.01,10.71,12.52,1.83,18.65,3.19,7.18,5.84,12.64,12.29,12.62,22.02,15.01,9.36,8.15
A,AM010000,PRD_BP,MIO_EUR,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,608.7,509.14,551.78,788.18,714.41,591.15,940.23,674.49,669.43,1102.5,1059.59,709.92,972.91,1329.91,1286.8,1252.84,1233.46,1207.39,1158.7,1085.51,1180.0,1219.29,1304.53,1787.57,2252.68,1615.87,1445.41,1593.85
A,AM010000,PRD_BP,MIO_EUR,DE,,,,,,,,,,,,,,,,,,,6026.96,5473.45,6205.16,6630.94,7645.42,7990.96,7658.68,7119.11,7027.33,7615.89,8140.23,7073.74,6946.95,7927.29,4216.8,4706.86,7085.88,8203.66,5358.0,4882.02,7445.99,7932.24,8155.48,7302.47,6703.8,5493.43,6439.3,5557.11,6820.83,7320.77,8984.84,12461.45,8394.67,6746.31,7197.82
A,AM010000,PRD_BP,MIO_EUR,DK,595.28,729.01,693.16,811.26,1048.1,1052.45,1122.42,1039.41,1186.14,1398.63,1225.81,1643.25,1406.22,1418.0,1236.48,1268.76,1418.23,1444.83,1409.67,1116.71,1358.73,1355.57,1655.66,1656.23,1585.59,1458.77,1366.62,1515.19,1580.28,1404.36,1474.87,1479.47,958.51,1081.74,1696.6,1269.94,962.39,1629.62,1695.62,1949.76,1302.19,1357.07,1629.77,1129.68,1358.64,1312.79,1376.89,1546.11,1937.95,2722.76,1541.81,1550.54,1732.44
A,AM010000,PRD_BP,MIO_EUR,EA,,,,,,,,,,,,,,,,,,,26858.41,24689.42,25513.99,25583.39,27725.78,31310.8,29566.38,28542.06,27525.85,29304.33,30415.78,30334.55,29346.56,32113.71,22953.61,21953.8,33028.98,31936.81,23119.12,28010.25,33989.95,36915.22,33764.77,31485.9,31675.29,26475.83,27885.27,29462.46,30931.83,32401.61,42338.1,52163.87,37615.25,32302.62,34650.54
A,AM010000,PRD_BP,MIO_EUR,EA21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24748.11,23758.4,35556.17,35050.26,25027.39,30246.07,36733.36,40299.63,36671.64,34055.79,33219.36,28040.25,29455.55,31305.23,32824.75,34181.88,45176.97,55818.2,39713.63,34046.89,36413.11
A,AM010000,PRD_BP,MIO_EUR,EE,,,,,,,,,,,,,,,,,,,,,,,27.73,64.37,49.41,38.18,26.99,61.21,45.56,47.67,48.08,67.91,73.39,86.56,167.5,86.89,80.26,107.83,125.76,208.32,146.18,175.88,211.29,111.69,175.9,149.05,222.01,244.15,257.9,394.69,233.36,237.09,239.22
A,AM010000,PRD_BP,MIO_EUR,EL,,,,,,,,,,,,,,,,,,,,,1141.94,1200.42,1236.69,1195.08,1293.55,1153.14,1101.38,1180.94,1247.18,1185.67,1213.04,1172.04,1155.81,756.6,1181.43,1049.82,865.44,871.44,991.43,999.99,890.28,828.43,822.49,749.02,688.41,635.69,624.09,654.99,853.48,1160.12,1052.93,706.0,722.36
A,AM010000,PRD_BP,MIO_EUR,ES,,,,,,,,,,,,,,,,,,3310.46,3679.87,2655.96,3688.27,2900.07,2738.18,4324.07,3751.59,3980.48,3464.32,4316.36,3786.05,4093.4,4190.64,4652.84,3101.1,2906.67,5322.15,4234.71,2832.55,3679.61,4449.25,4011.1,4421.59,3586.85,3607.41,3841.08,2966.52,4342.57,3621.2,4780.21,6157.87,6154.88,2860.0,4571.0,5244.11
A,AM010000,PRD_BP,MIO_EUR,EU,,,,,,,,,,,,,,,,,,,,,32098.8,32153.46,35394.77,39524.19,37595.02,35650.5,34268.11,36668.99,36010.32,36142.04,34848.54,37940.67,32233.68,31484.3,49477.5,52171.15,35684.55,43314.14,55407.44,57784.72,55059.45,52048.51,49671.51,43268.96,46264.12,48827.42,51441.97,47948.91,64177.39,79633.84,58341.05,48953.56,53400.54
A,AM010000,PRD_BP,MIO_EUR,EU27_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32918.16,31774.53,47230.29,48771.03,33582.9,41274.16,52311.62,54491.34,51097.28,47782.84,45741.63,40227.34,42739.44,45152.12,47264.39,47948.91,64177.39,79633.84,58341.05,48953.56,53400.54
A,AM010000,PRD_BP,MIO_EUR,EU27_2020_EFTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47837.33,49432.42,34138.2,41908.12,52987.77,55217.24,51749.76,48523.68,46545.55,40941.21,43525.82,45725.01,48063.09,48760.34,64920.41,80656.18,59110.18,49745.51,54345.27
A,AM010000,PRD_BP,MIO_EUR,FI,,,,558.96,370.2,339.25,413.36,609.6,596.81,958.2,1174.08,1240.6,1308.66,1223.83,785.54,986.47,1511.54,1653.31,1134.92,795.15,818.04,704.28,586.29,647.3,641.83,498.81,510.8,706.3,655.0,666.8,640.2,612.1,652.4,437.4,715.6,590.2,416.0,466.5,601.77,651.9,686.17,530.32,481.24,437.0,437.58,431.51,630.57,471.75,437.6,1040.65,630.94,618.09,633.91
