Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1964,1964,t,25077.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1965,1965,t,24583.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1966,1966,t,45275.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1967,1967,t,59601.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1968,1968,t,68328.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1969,1969,t,70664.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1970,1970,t,73723.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1971,1971,t,75063.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1972,1972,t,77213.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1973,1973,t,63593.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1974,1974,t,81339.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1975,1975,t,80033.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1976,1976,t,109301.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1977,1977,t,116836.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1978,1978,t,121318.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1979,1979,t,130936.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1980,1980,t,146687.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1981,1981,t,130703.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1982,1982,t,161300.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1983,1983,t,202514.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1984,1984,t,186727.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1985,1985,t,169284.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1986,1986,t,157985.0,A,Official data from questionnaire
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1987,1987,t,190600.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1988,1988,t,191000.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1989,1989,t,200400.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1990,1990,t,184900.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1991,1991,t,173400.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1992,1992,t,171000.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1993,1993,t,179000.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1994,1994,t,163000.0,X,Data sourced from another international organization
54,'208,Denmark,3102,Nutrient nitrogen N (total),5510,Production,1995,1995,t,165000.0,X,Data sourced from another international organization
