Area,geo_code,Year,Value,Unit,Element,Item,Flag
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2012,10015993,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2013,10070639,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2014,10315169,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2015,11105856,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2016,11937463,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2017,12563794,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2018,13399681,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2019,14258660,HA,Organic utilised agricultural area,Total organic UAA,
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",EU,2020,14724279,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2012,9457886,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2013,9511921,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2014,9793694,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2015,10609926,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2016,11447259,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2017,12066052,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2018,12942303,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2019,13799385,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 27 countries (from 2020),EU27_2020,2020,14724279,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 28 countries (2013-2020),EU28,2012,10047896,HA,Organic utilised agricultural area,Total organic UAA,
European Union - 28 countries (2013-2020),EU28,2013,10070639,HA,Organic utilised agricultural area,Total organic UAA,
