country,year,potatoes_prod,wheat_prod,export_val,import_val,trade_balance,is_ireland,is_eu
Denmark,2000,1645240.0,4693422.0,95929331.11,66688445.39000001,29240885.71999999,0,1
Denmark,2001,1543028.0,4663938.0,98137630.77,66770384.62,31367246.15,0,1
Denmark,2002,1504200.0,4056240.0,107010695.61,74883832.51,32126863.099999994,0,1
Denmark,2003,1412200.0,4701382.0,124242526.65,87290130.18,36952396.47,0,1
Denmark,2004,1629400.0,4758500.0,143754597.06,103357492.4,40397104.66,0,1
Denmark,2005,1576400.0,4887200.0,153967771.54999998,113248636.25,40719135.29999998,0,1
Denmark,2006,1361200.0,4801600.0,168271552.32999998,127596739.8,40674812.52999999,0,1
Denmark,2007,1625580.0,4519200.0,185615029.92000002,148667768.88,36947261.04000002,0,1
Denmark,2008,1693000.0,5018700.0,210579894.84,168871795.44,41708099.400000006,0,1
Denmark,2009,1617700.0,5940400.0,176139894.24,130236455.92,45903438.32000001,0,1
Denmark,2010,1357800.0,5059900.0,180984639.0,134225212.0,46759427.0,0,1
Denmark,2011,1620000.0,4831000.0,207611744.0,154616960.0,52994784.0,0,1
Denmark,2012,1664200.0,4525100.0,199158451.0,146090952.0,53067499.0,0,1
Denmark,2013,1646300.0,4145200.0,209960073.0,155945824.0,54014249.0,0,1
Denmark,2014,1733400.0,5153300.0,206711163.60999998,159990640.12,46720523.48999998,0,1
Denmark,2015,1772466.0,5029300.0,176513745.56,138351327.83,38162417.72999999,0,1
Denmark,2016,1954016.0,4201500.0,174027080.14,136470953.72,37556126.41999999,0,1
Denmark,2017,2171000.0,4834100.0,189135597.57,147922055.10999998,41213542.46000001,0,1
Denmark,2018,1806800.0,2623930.0,195710580.87,161986735.34,33723845.53,0,1
Denmark,2019,2408700.0,4642090.0,194939407.04000002,153774781.63,41164625.410000026,0,1
Denmark,2020,2762900.0,4070410.0,193016692.52,154635067.24,38381625.28,0,1
Denmark,2021,2374600.0,4047090.0,215253880.33,186133908.35,29119971.98000002,0,1
Denmark,2022,2617600.0,4165400.0,222281332.64000002,194696363.03,27584969.610000014,0,1
Denmark,2023,2757200.0,3556260.0,233706721.98000002,195183507.01,38523214.97000003,0,1
Denmark,2024,2997600.0,3348010.0,231545054.86,191047587.82,40497467.04000002,0,1
France,2000,6440483.1,37355956.9,491246646.38,449162039.34,42084607.04000002,0,1
France,2001,6049645.9,31545319.3,477816879.54,443205042.72999996,34611836.81000006,0,1
France,2002,6874391.0,38936514.8,504487985.47999996,454868014.51,49619970.96999997,0,1
France,2003,6355131.2,30479361.5,601154278.76,551210765.33,49943513.42999995,0,1
France,2004,7255378.0,39690179.5,683009182.48,643470823.98,39538358.5,0,1
France,2005,6604600.0,36886102.6,697819030.17,680987027.06,16832003.110000014,0,1
France,2006,6362823.0,35363563.4,739274770.59,720974612.61,18300157.98000002,0,1
France,2007,7189093.3,32763445.9,846437380.48,842775390.3199999,3661990.160000086,0,1
France,2008,6817621.9,39006372.0,955356392.8800001,981991233.95,-26634841.069999933,0,1
France,2009,7119238.7,38336864.7,771357345.52,800568487.6099999,-29211142.089999914,0,1
France,2010,6622043.0,38207431.0,831851340.88,854866139.46,-23014798.580000043,0,1
France,2011,7440219.0,35992794.3,966697277.0,998725903.0,-32028626.0,0,1
France,2012,6376057.6,37885741.8,918977367.1800001,941059422.0,-22082054.819999933,0,1
France,2013,6957008.0,38651472.0,953054670.0,966634461.0,-13579791.0,0,1
France,2014,8085184.0,38950202.0,939447041.71,964950072.88,-25503031.169999957,0,1
France,2015,7119837.0,42750027.4,815610115.44,819358869.0000001,-3748753.560000062,0,1
France,2016,6954983.0,29316331.0,801410235.4399999,823764732.78,-22354497.340000033,0,1
France,2017,8547354.0,38677896.0,854864792.24,896408460.24,-41543668.0,0,1
France,2018,7860380.0,35424140.0,923112099.25,963613070.2,-40500970.95000005,0,1
France,2019,8560410.0,40604960.0,904223614.87,931271804.87,-27048190.0,0,1
France,2020,8822180.0,30181140.0,817951940.35,864816383.92,-46864443.56999993,0,1
France,2021,8987220.0,36559450.0,967387475.85,1033855137.4699999,-66467661.619999886,0,1
France,2022,8067380.0,34632380.0,1033458876.3100001,1162489217.6000001,-129030341.29000008,0,1
France,2023,8606490.0,35995570.0,1065735183.7500001,1151623689.7,-85888505.94999993,0,1
France,2024,9237460.0,26606940.0,1062273819.2099999,1129471455.76,-67197636.55000007,0,1
Germany,2000,13192951.0,21621548.0,673600055.0,669659351.0,3940704.0,0,1
