Area Code,Area Code (M49),country,Item Code,Item Code (CPC),commodity,Element Code,element,Year Code,year,unit,value,Flag,Note
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1961,1961,ha,85.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1962,1962,ha,161.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1963,1963,ha,154.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1964,1964,ha,135.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1965,1965,ha,192.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1966,1966,ha,240.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1967,1967,ha,302.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1968,1968,ha,264.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1969,1969,ha,345.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1970,1970,ha,431.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1971,1971,ha,473.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1972,1972,ha,638.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1973,1973,ha,1177.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1974,1974,ha,1218.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1975,1975,ha,872.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1976,1976,ha,519.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1977,1977,ha,209.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1978,1978,ha,716.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1979,1979,ha,1097.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1980,1980,ha,1105.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1981,1981,ha,1202.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1982,1982,ha,864.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1983,1983,ha,1017.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1984,1984,ha,1200.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1985,1985,ha,1496.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1986,1986,ha,2000.0,X,Unofficial figure
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1987,1987,ha,2120.0,A,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1988,1988,ha,1500.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1989,1989,ha,2000.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1990,1990,ha,1300.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1991,1991,ha,350.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1992,1992,ha,100.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1993,1993,ha,220.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1994,1994,ha,300.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1995,1995,ha,1200.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1996,1996,ha,135.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1997,1997,ha,70.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1998,1998,ha,230.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,1999,1999,ha,80.0,E,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,2000,2000,ha,74.0,I,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,2001,2001,ha,140.0,I,
54,'208,Denmark,711,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,Area harvested,2002,2002,ha,131.0,I,
