title,perspective,seendate,domain,neg,neu,pos,compound,tb_polarity,tb_subjectivity,sentiment_label
Irish dairy farmers face challenges amid rising feed costs,producer,2023-01-01,synthetic,0.0,0.86,0.14,0.0772,0.0,0.0,Positive
Record milk production in Ireland following quota abolition,producer,2023-01-01,synthetic,0.0,1.0,0.0,0.0,0.0,0.0,Neutral
Irish beef exports reach new high in European markets,producer,2023-01-01,synthetic,0.0,0.879,0.121,0.0258,0.0,0.0,Neutral
Teagasc reports strong farm incomes for Irish livestock sector,producer,2023-01-01,synthetic,0.0,0.708,0.292,0.5106,0.0,0.0,Positive
CAP payments support Irish farming community sustainability,producer,2023-01-01,synthetic,0.0,0.69,0.31,0.4019,0.0,0.0,Positive
Organic farming expansion in Ireland gains momentum,producer,2023-01-01,synthetic,0.0,0.714,0.286,0.34,0.0,0.0,Positive
Irish agri-food exports exceed EUR 16 billion for the first time,producer,2023-01-01,synthetic,0.0,1.0,0.0,0.0,0.0,0.0,Neutral
Farmers concerned over fertilizer price increases impacting margins,producer,2023-01-01,synthetic,0.0,1.0,0.0,0.0,0.0,0.0,Neutral
New nitrates regulations worry Irish tillage farmers,producer,2023-01-01,synthetic,0.326,0.674,0.0,-0.4404,0.0,0.0,Negative
Ireland ranks among top EU dairy producers per capita,producer,2023-01-01,synthetic,0.0,0.816,0.184,0.2023,0.0,0.0,Positive
Irish Farmers Association welcomes new CAP reform support,producer,2023-01-01,synthetic,0.0,0.526,0.474,0.6597,0.0,0.0,Positive
Severe weather threatens Irish crop yields this harvest season,producer,2023-01-01,synthetic,0.426,0.574,0.0,-0.6369,0.0,0.0,Negative
Government investment in rural agriculture welcomed by farmers,producer,2023-01-01,synthetic,0.0,0.745,0.255,0.34,0.0,0.0,Positive
Prolonged drought conditions reduce Irish grass growth forecasts,producer,2023-01-01,synthetic,0.0,0.729,0.271,0.3818,0.0,0.0,Positive
Positive outlook for Irish pork sector in Asian export markets,producer,2023-01-01,synthetic,0.0,0.714,0.286,0.5574,0.0,0.0,Positive
Irish dairy farmers face challenges amid rising feed costs,producer,2023-01-01,synthetic,0.0,0.86,0.14,0.0772,0.0,0.0,Positive
Record milk production in Ireland following quota abolition,producer,2023-01-01,synthetic,0.0,1.0,0.0,0.0,0.0,0.0,Neutral
Irish beef exports reach new high in European markets,producer,2023-01-01,synthetic,0.0,0.879,0.121,0.0258,0.0,0.0,Neutral
Teagasc reports strong farm incomes for Irish livestock sector,producer,2023-01-01,synthetic,0.0,0.708,0.292,0.5106,0.0,0.0,Positive
CAP payments support Irish farming community sustainability,producer,2023-01-01,synthetic,0.0,0.69,0.31,0.4019,0.0,0.0,Positive
Organic farming expansion in Ireland gains momentum,producer,2023-01-01,synthetic,0.0,0.714,0.286,0.34,0.0,0.0,Positive
Irish agri-food exports exceed EUR 16 billion for the first time,producer,2023-01-01,synthetic,0.0,1.0,0.0,0.0,0.0,0.0,Neutral
Farmers concerned over fertilizer price increases impacting margins,producer,2023-01-01,synthetic,0.0,1.0,0.0,0.0,0.0,0.0,Neutral
New nitrates regulations worry Irish tillage farmers,producer,2023-01-01,synthetic,0.326,0.674,0.0,-0.4404,0.0,0.0,Negative
Ireland ranks among top EU dairy producers per capita,producer,2023-01-01,synthetic,0.0,0.816,0.184,0.2023,0.0,0.0,Positive
Irish Farmers Association welcomes new CAP reform support,producer,2023-01-01,synthetic,0.0,0.526,0.474,0.6597,0.0,0.0,Positive
Severe weather threatens Irish crop yields this harvest season,producer,2023-01-01,synthetic,0.426,0.574,0.0,-0.6369,0.0,0.0,Negative
Government investment in rural agriculture welcomed by farmers,producer,2023-01-01,synthetic,0.0,0.745,0.255,0.34,0.0,0.0,Positive
Prolonged drought conditions reduce Irish grass growth forecasts,producer,2023-01-01,synthetic,0.0,0.729,0.271,0.3818,0.0,0.0,Positive
Positive outlook for Irish pork sector in Asian export markets,producer,2023-01-01,synthetic,0.0,0.714,0.286,0.5574,0.0,0.0,Positive
Irish dairy farmers face challenges amid rising feed costs,producer,2023-01-01,synthetic,0.0,0.86,0.14,0.0772,0.0,0.0,Positive
Record milk production in Ireland following quota abolition,producer,2023-01-01,synthetic,0.0,1.0,0.0,0.0,0.0,0.0,Neutral
