country,year,export_val,import_val,trade_balance
Denmark,1961,5832967.0,3278792.0,2554175.0
Denmark,1962,6191111.0,3809138.0,2381973.0
Denmark,1963,6926724.0,3769121.0,3157603.0
Denmark,1964,7448002.0,4545876.0,2902126.0
Denmark,1965,7869682.0,4814838.0,3054844.0
Denmark,1966,8189610.0,5043982.0,3145628.0
Denmark,1967,8066399.0,5159774.0,2906625.0
Denmark,1968,7784415.0,5052157.0,2732258.0
Denmark,1969,8398590.0,5698405.0,2700185.0
Denmark,1970,9051492.0,6713248.0,2338244.0
Denmark,1971,9918112.0,7094912.0,2823200.0
Denmark,1972,11569545.0,7802995.0,3766550.0
Denmark,1973,16470190.0,11813648.0,4656542.0
Denmark,1974,19728831.0,14569752.0,5159079.0
Denmark,1975,23236121.0,15116811.0,8119310.0
Denmark,1976,23287606.0,18412955.0,4874651.0
Denmark,1977,25487134.0,20675370.0,4811764.0
Denmark,1978,31231606.0,22916359.0,8315247.0
Denmark,1979,37255462.0,27900817.0,9354645.0
Denmark,1980,42018464.0,29285553.0,12732911.0
Denmark,1981,40103228.0,27100160.0,13003068.0
Denmark,1982,38630070.36,25311166.77,13318903.59
Denmark,1983,38238048.0,24841486.0,13396562.0
Denmark,1984,37814733.0,25253450.0,12561283.0
Denmark,1985,39638109.0,26882618.0,12755491.0
Denmark,1986,49315223.0,33948848.0,15366375.0
Denmark,1987,56869612.0,37947959.0,18921653.0
Denmark,1988,59858821.0,39363851.0,20494970.0
Denmark,1989,61922865.0,39940972.0,21981893.0
Denmark,1990,76118000.0,46440816.0,29677184.0
Denmark,1991,77664312.0,48171030.0,29493282.0
Denmark,1992,84920372.0,51872990.0,33047382.0
Denmark,1993,77094712.0,46150128.0,30944584.0
Denmark,1994,87324605.0,53186420.0,34138185.0
Denmark,1995,97349561.0,63462796.0,33886765.0
Denmark,1996,101451583.0,66016259.0,35435324.0
Denmark,1997,99253227.0,67561411.0,31691816.0
Denmark,1998,96040090.0,69226096.0,26813994.0
Denmark,1999,94279332.0,67472597.0,26806735.0
Denmark,2000,95929331.11,66688445.39000001,29240885.71999999
Denmark,2001,98137630.77,66770384.62,31367246.15
Denmark,2002,107010695.61,74883832.51,32126863.099999994
Denmark,2003,124242526.65,87290130.18,36952396.47
Denmark,2004,143754597.06,103357492.4,40397104.66
Denmark,2005,153967771.54999998,113248636.25,40719135.29999998
Denmark,2006,168271552.32999998,127596739.8,40674812.52999999
Denmark,2007,185615029.92000002,148667768.88,36947261.04000002
Denmark,2008,210579894.84,168871795.44,41708099.400000006
Denmark,2009,176139894.24,130236455.92,45903438.32000001
Denmark,2010,180984639.0,134225212.0,46759427.0
Denmark,2011,207611744.0,154616960.0,52994784.0
Denmark,2012,199158451.0,146090952.0,53067499.0
Denmark,2013,209960073.0,155945824.0,54014249.0
Denmark,2014,206711163.60999998,159990640.12,46720523.48999998
Denmark,2015,176513745.56,138351327.83,38162417.72999999
Denmark,2016,174027080.14,136470953.72,37556126.41999999
Denmark,2017,189135597.57,147922055.10999998,41213542.46000001
Denmark,2018,195710580.87,161986735.34,33723845.53
Denmark,2019,194939407.04000002,153774781.63,41164625.410000026
Denmark,2020,193016692.52,154635067.24,38381625.28
Denmark,2021,215253880.33,186133908.35,29119971.98000002
Denmark,2022,222281332.64000002,194696363.03,27584969.610000014
Denmark,2023,233706721.98000002,195183507.01,38523214.97000003
Denmark,2024,231545054.86,191047587.82,40497467.04000002
France,1961,13454093.0,16914451.0,-3460358.0
France,1962,13382573.0,18667052.0,-5284479.0
France,1963,15280894.0,20502406.0,-5221512.0
France,1964,17168259.0,23046562.0,-5878303.0
France,1965,19097743.0,22872081.0,-3774338.0
France,1966,20730422.0,25468495.0,-4738073.0
France,1967,21427882.0,25047505.0,-3619623.0
France,1968,24618335.0,26498813.0,-1880478.0
France,1969,29372187.0,32602255.0,-3230068.0
France,1970,32960135.0,34907302.0,-1947167.0
France,1971,39560369.0,34578489.0,4981880.0
France,1972,51244145.0,47680754.0,3563391.0
France,1973,71809898.0,67102110.0,4707788.0
France,1974,87335061.0,85219811.0,2115250.0
France,1975,94861155.0,91048940.0,3812215.0
France,1976,100899643.0,106501236.0,-5601593.0
France,1977,112635555.0,123309447.0,-10673892.0
France,1978,139414799.0,143045449.0,-3630650.0
France,1979,174672592.0,175502589.0,-829997.0
France,1980,204229830.0,208362612.0,-4132782.0
France,1981,192055708.0,186177722.0,5877986.0
France,1982,172862768.0,178976936.0,-6114168.0
France,1983,172817438.0,167252604.0,5564834.0
France,1984,174344455.0,164858988.0,9485467.0
France,1985,181306060.0,169627659.0,11678401.0
France,1986,220224031.0,204275857.0,15948174.0
France,1987,262962621.0,244997172.0,17965449.0
France,1988,307558807.0,281696066.0,25862741.0
France,1989,328042782.0,300049468.0,27993314.0
France,1990,390636929.0,356443520.0,34193409.0
France,1991,394212407.0,364525347.0,29687060.0
France,1992,433064855.0,383423907.0,49640948.0
France,1993,390612730.0,326960233.0,63652497.0
France,1994,426724890.0,370392086.0,56332804.0
France,1995,506958807.0,433076546.0,73882261.0
France,1996,509148319.0,430166884.0,78981435.0
France,1997,496348307.0,413228763.0,83119544.0
France,1998,513164902.0,439580997.0,73583905.0
France,1999,509713419.0,439197992.0,70515427.0
France,2000,491246646.38,449162039.34,42084607.04000002
France,2001,477816879.54,443205042.72999996,34611836.81000006
France,2002,504487985.47999996,454868014.51,49619970.96999997
France,2003,601154278.76,551210765.33,49943513.42999995
France,2004,683009182.48,643470823.98,39538358.5
France,2005,697819030.17,680987027.06,16832003.110000014
France,2006,739274770.59,720974612.61,18300157.98000002
France,2007,846437380.48,842775390.3199999,3661990.160000086
France,2008,955356392.8800001,981991233.95,-26634841.069999933
France,2009,771357345.52,800568487.6099999,-29211142.089999914
France,2010,831851340.88,854866139.46,-23014798.580000043
France,2011,966697277.0,998725903.0,-32028626.0
France,2012,918977367.1800001,941059422.0,-22082054.819999933
France,2013,953054670.0,966634461.0,-13579791.0
France,2014,939447041.71,964950072.88,-25503031.169999957
France,2015,815610115.44,819358869.0000001,-3748753.560000062
France,2016,801410235.4399999,823764732.78,-22354497.340000033
France,2017,854864792.24,896408460.24,-41543668.0
France,2018,923112099.25,963613070.2,-40500970.95000005
France,2019,904223614.87,931271804.87,-27048190.0
France,2020,817951940.35,864816383.92,-46864443.56999993
France,2021,967387475.85,1033855137.4699999,-66467661.619999886
France,2022,1033458876.3100001,1162489217.6000001,-129030341.29000008
France,2023,1065735183.7500001,1151623689.7,-85888505.94999993
