economy,series,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
AUS,AG.LND.ARBL.ZS,2.20715150410684,2.23995418038869,2.11212787836976,2.22732775340718,2.32261171784492,2.1916613514182,2.49834034078336,2.72106009918905,2.77911562943389,2.99311404136782,3.05546516017339,3.15009827785949,3.08956952995848,3.02513570154771,3.35094958541062,3.43673118727464,3.15374301966859,3.01016622626037,3.12329640862762,3.53300443877485,3.331261471174,4.12570454160863,4.11821980396496,4.06399125261966,4.16025148718483,4.04705622014241,3.90755614259973,3.99790952181612,4.02677060122049,3.97463865148557,3.98386899670048,4.0646020161154,4.0646020161154,4.02880884345075,
AUS,AG.PRD.CROP.XD,54.51,56.22,54.43,59.51,63.46,51.86,69.83,83.17,79.05,87.5,90.92,89.66,90.73,60.18,92.87,89.88,93.3,59.11,69.37,84.7,85.64,99.76,111.34,103.58,102.87,97.94,99.19,131.17,104.5,84.09,76.66,129.02,146.08,,
AUS,AG.PRD.FOOD.XD,61.86,63.4,63.05,67.19,70.42,64.4,71.98,78.74,79.1,84.21,87.03,87.19,88.75,73.45,89.98,87.28,90.96,76.45,80.9,86.77,86.42,90.37,95.53,96.86,100.8,101.22,97.98,108.12,98.31,92.46,87.12,107.15,112.1,,
AUS,AG.PRD.LVSK.XD,81.65,83.57,81.86,83.25,84.39,81.98,80.32,83.44,87.17,89.44,91.36,91.26,92.33,86.07,87.7,88.21,91.2,90.75,87.8,86.85,85.88,86.4,88.46,95.07,100.86,102.38,96.76,90.98,97.18,97.71,90.62,87.88,87.48,,
AUS,NV.AGR.TOTL.ZS,4.17677382101021,3.15825667117102,3.03013860218225,3.23930870769341,3.32173444100615,2.99940193194106,3.36814606624927,3.22527993858659,3.02751531970189,3.04342312057626,3.10630676229169,3.50187086251559,3.94425123897134,2.88733584935682,3.05821916621123,2.88921493532413,2.74011319183189,2.21281034154067,2.35417910776003,2.31423570641201,2.21824837320556,2.30485962261499,2.27317856495351,2.29076813252161,2.22695769265967,2.37664391487055,2.41300232330254,2.72098319651067,2.47191752630847,2.12424911197662,2.01512715396535,2.30537875480088,2.67242699950618,2.57169831894523,2.03565265249391
AUT,AG.LND.ARBL.ZS,17.2806592341251,17.510906446922,17.4018419777024,17.1958313136209,17.2443044110519,17.1352399418323,17.0867668444014,17.0382937469704,17.014057198255,16.9898206495395,16.9534658264663,16.8080465341735,16.7838099854581,16.7235821619001,16.714735821619,16.7317014057198,16.6892874454678,16.6747455162385,16.5899175957344,16.5608337372758,16.5269025690742,16.4760058167717,16.4214735821619,16.4069316529326,16.3802714493456,16.3124091129423,16.2928986912264,16.1044595249636,16.0827678138633,16.0631362094038,16.0563669413475,16.0315232670868,16.0033082888997,16.0177120698013,
AUT,AG.PRD.CROP.XD,103.55,101.47,92.65,93.89,96.03,97.95,93.19,100.0,103.12,107.02,100.66,104.58,103.56,97.55,112.91,105.22,102.19,106.99,120.0,112.19,92.34,111.7,93.12,93.25,107.93,92.74,99.33,93.71,98.78,98.08,103.38,100.74,100.31,,
AUT,AG.PRD.FOOD.XD,99.01,97.91,94.83,94.27,94.28,91.08,91.13,93.3,95.06,97.57,95.63,97.58,96.98,94.33,99.62,95.64,95.29,97.93,103.56,101.87,95.33,102.99,95.95,96.23,102.03,97.36,100.61,98.48,100.51,99.96,101.84,100.48,100.45,,
AUT,AG.PRD.LVSK.XD,96.2,95.72,96.13,94.48,93.2,86.88,89.84,89.2,90.14,91.79,92.54,93.29,92.96,92.36,91.54,89.8,91.1,92.41,93.53,95.57,97.13,97.7,97.66,98.02,98.46,100.17,101.37,101.37,101.49,101.07,100.87,100.31,100.45,,
AUT,NV.AGR.TOTL.ZS,3.13503392093378,2.84569687770774,2.48336784032364,2.23142704311096,2.40057756945597,2.18502137013502,1.97649891499438,1.96702623453595,1.83846734685464,1.78102549667367,1.67089601150509,1.70825527346988,1.59223426298384,1.4869307559019,1.4931762753994,1.28239498294254,1.32751796800624,1.46196340335606,1.38504114785417,1.17655306368833,1.29288595990855,1.46130648071081,1.41768134316306,1.27784992108872,1.27555801772568,1.14362854172989,1.14928264077268,1.19990203076681,1.10911414021412,1.04463413653499,1.07138113272871,1.2152388657488,1.34649596457301,1.24176172038934,1.21663375792448
